:table	Stage(key="stage_id; region_id,index")	스테이지이다. 첫 키가 단일이므로 참조 대상이 된다.
:field	stage_id	region_id	index	stage_kind	wave_monster_ids	wave_levels	reward_group_id	boss_id
:type	string	foreign Region	int (min=1, max=18)	StageKind	foreign Monster[]	int[] (size=1..5)	foreign RewardGroup	foreign Boss?
:desc	식별자	어느 지역인가	지역 안의 순번	일반 · 관측 · 수호자	등장 목록. 셀 안의 참조 배열	각 등장의 레벨	클리어 보상	수호자 스테이지에만
:target	c,s	c,s	c,s	c,s	c,s	c,s	c,s	c,s
	weir_forest_01	weir_forest	1	Normal	moss_toad_1	5	rg_weir_forest_stage_01
	weir_forest_02	weir_forest	2	Normal	thorn_beetle_1	7	rg_weir_forest_stage_02
	weir_forest_03	weir_forest	3	Observation	vine_ape_1	9	rg_weir_forest_stage_03
	weir_forest_04	weir_forest	4	Normal	bloom_moth_1	11	rg_weir_forest_stage_04
	weir_forest_05	weir_forest	5	Normal	elder_bark_1	13	rg_weir_forest_stage_05
	weir_forest_06	weir_forest	6	Normal	sprout_deer_1	15	rg_weir_forest_stage_06
	weir_forest_07	weir_forest	7	Normal	moss_toad_1;thorn_beetle_1	17;17	rg_weir_forest_stage_07
	weir_forest_08	weir_forest	8	Normal	thorn_beetle_1;vine_ape_1	19;19	rg_weir_forest_stage_08
	weir_forest_09	weir_forest	9	Observation	vine_ape_1;bloom_moth_1	21;21	rg_weir_forest_stage_09
	weir_forest_10	weir_forest	10	Normal	bloom_moth_1;elder_bark_1	23;23	rg_weir_forest_stage_10
	weir_forest_11	weir_forest	11	Normal	elder_bark_1;sprout_deer_1	25;25	rg_weir_forest_stage_11
	weir_forest_12	weir_forest	12	Normal	sprout_deer_1;moss_toad_1	27;27	rg_weir_forest_stage_12
	weir_forest_13	weir_forest	13	Normal	moss_toad_1;thorn_beetle_1	29;29	rg_weir_forest_stage_13
	weir_forest_14	weir_forest	14	Normal	thorn_beetle_1;vine_ape_1;bloom_moth_1	31;31;31	rg_weir_forest_stage_14
	weir_forest_15	weir_forest	15	Observation	vine_ape_1;bloom_moth_1;elder_bark_1	33;33;33	rg_weir_forest_stage_15
	weir_forest_16	weir_forest	16	Normal	bloom_moth_1;elder_bark_1;sprout_deer_1	35;35;35	rg_weir_forest_stage_16
	weir_forest_17	weir_forest	17	Normal	elder_bark_1;sprout_deer_1;moss_toad_1	37;37;37	rg_weir_forest_stage_17
